i_m_h_street_name,ta_street,result_name
0,440,0
,,no_match
אב,אב,אב
אבא ושרה נאמן,נאמן אבא ושרה,אבא ושרה נאמן
אבודרהם,אבודרהם,אבודרהם
אבולעפיה,אבולעפיה,אבולעפיה
אבוקה,אבוקה,אבוקה
אביאסף,אביאסף,אביאסף
אביגור שאול,אב,אביגור שאול
אביטל,אביטל,אביטל
אבינרי יצחק,אבינרי יצחק,אבינרי יצחק
אבן ג'נאח,אב,אבן ג'נאח
אבן גבירול,אבן גבירול,אבן גבירול
אבן סינא,אבן סינא,אבן סינא
אבן ספיר,אבן ספיר,אבן ספיר
אבן רשד,אבן רשד,אבן רשד
אבן שושן אברהם,אבן שושן אברהם,אבן שושן אברהם
אבנר,אבנר,אבנר
אברבנאל,אברבנאל,אברבנאל
אברך ישעיהו,אברך ישעיהו,אברך ישעיהו
אגדתי ברוך,אגדתי ברוך,אגדתי ברוך
"אד""ם הכהן","אד""ם הכהן","אד""ם הכהן"
אדירים,אדירים,אדירים
אדר,אדר,אדר
אהבת ציון,אהבת ציון,אהבת ציון
אהוד,אהוד,אהוד
אהלי יעקב,אהלי יעקב,אהלי יעקב
אהרון דוד גורדון,אהרון דוד גורדון,אהרון דוד גורדון
אהרונוביץ,אהרונוביץ,אהרונוביץ
אהרונסון,אהרונסון,אהרונסון
אוארבך,אוארבך,אוארבך
אוגרית,אוגרית,אוגרית
אוהב ישראל,אוהב ישראל,אוהב ישראל
אוז'שקובה,אוז'שקובה,אוז'שקובה
אוליפנט,אוליפנט,אוליפנט
אומץ,ו',אומץ
אונברסיטת תל אביב,"ל""א",אונברסיטת תל אביב
אונטרמן איסר יהוד,אונטרמן איסר יהודה,אונטרמן איסר יהוד
אוניברסיטת תל אבי,"ל""א",אוניברסיטת תל אבי
אונקלוס,אונקלוס,אונקלוס
אוסישקין,אוסישקין,אוסישקין
אופטושו יוסף,אופטושו יוסף,אופטושו יוסף
אופיר,אופיר,אופיר
אופנהיימר,אופנהיימר,אופנהיימר
אור החיים,אור החיים,אור החיים
אורי,אוריאל אקוסטה,אורי
אורי צבי גרינברג,גרינברג אורי צבי,אורי צבי גרינברג
אורים,אורים,אורים
אורלוב חנה,אורלוף חנה,אורלוב חנה
אושה,אושה,אושה
"אז""ר","אז""ר","אז""ר"
אזור תעשיה הירקון,הירקון,אזור תעשיה הירקון
אזורי חן,ו',אזורי חן
"אח""י דקר","אח""י דקר","אח""י דקר"
אחד העם,אחד העם,אחד העם
אחווה,אחווה,אחווה
אחוזת בית,אחוזת בית,אחוזת בית
אחילוף,אחילוף,אחילוף
אחימאיר אבא,אחימאיר אבא,אחימאיר אבא
אחימעץ,אחימעץ,אחימעץ
אחיעזר,אחיעזר,אחיעזר
אחרון יוסף,אחרון יוסף,אחרון יוסף
איגר עקיבא,איגר,איגר עקיבא
אידלסון אברהם,אב,אידלסון אברהם
אידלסון רחל ושמוא,אידלסון רחל ושמואל,אידלסון רחל ושמוא
אייבשיץ,אייבשיץ,אייבשיץ
איילת השחר,איילת השחר,איילת השחר
אייר,אייר,אייר
"איל""ן","איל""ן","איל""ן"
אילת,אילת,אילת
אימבר,אימבר,אימבר
אינשטיין,אינשטיין,אינשטיין
איסקוב נסים,איסקוב ניסים,איסקוב נסים
איסרליש,איסרליש,איסרליש
אירוס,אירוס,אירוס
איתיאל,איתיאל,איתיאל
אלבז נתן,אלבז נתן,אלבז נתן
אלביטר עבדאלראוף,,אלביטר עבדאלראוף
אלדד הדני,אלדד הדני,אלדד הדני
אלול,אלול,אלול
אלון יגאל,אלון יגאל,אלון יגאל
אלוף,אלוף,אלוף
אלוף בצלות,אלוף בצלות,אלוף בצלות
אלוף דן לנר,אלוף,אלוף דן לנר
אלוף מגן קלמן,מגן קלמן אלוף,אלוף מגן קלמן
אלוף מנדלר אברהם,מנדלר אלברט אברהם אלוף,אלוף מנדלר אברהם
אלחנן יצחק,אלחנן יצחק,אלחנן יצחק
אלחריזי,אלחריזי,אלחריזי
אלי כהן,כהן אלי,אלי כהן
אליהו מפירארה,אליהו מפרארה,אליהו מפירארה
אליעז רפאל,אליעז רפאל,אליעז רפאל
אליפלט,אליפלט,אליפלט
אליקום,אליקום,אליקום
אלישברג,אלישברג,אלישברג
אלישיב,אלישיב,אלישיב
אלכסנדר ינאי,אלכסנדר ינאי,אלכסנדר ינאי
אלמגור,אלמגור,אלמגור
אלנבי,אלנבי,אלנבי
אלעזר )רוקח(,אלעזר (רוקח),אלעזר )רוקח(
אלעזר בן עזריה,בן עזריה אלעזר,אלעזר בן עזריה
אלפסי,אלפסי יצחק,אלפסי
אלקלעי,אלקלעי,אלקלעי
אלרואי,אלרואי,אלרואי
אלשיך,אלשיך,אלשיך
אלתרמן נתן,אלתרמן נתן,אלתרמן נתן
אמזלג,אמזלג,אמזלג
אמיל זולה,פוירשטיין אמיל ד'ר,אמיל זולה
אמירים,אמירים,אמירים
אמסטרדם,אמסטרדם,אמסטרדם
